feature,log2FC,pval,qval
EC2-8-3-8,2.164668783,0.000476388,0.004949849
EC3-5-1-53,-2.79849136,0.000482226,0.004983855
EC1-3-1-10,2.994357935,0.000488401,0.005020969
EC1-4-1-16,0.840114147,0.000493489,0.005046571
EC1-17-1-5,1.354716154,0.000527244,0.005307952
EC3-6-3-4,1.119336945,0.00052576,0.005307952
EC4-2-2-22,-2.09438789,0.000521832,0.005307952
EC3-2-1-170,1.705400818,0.000538348,0.005391802
EC1-1-1-2,1.605320525,0.000544703,0.005427475
EC1-1-1-154,3.01140328,0.000587717,0.005820196
EC3-2-1-78,-2.399944255,0.000592396,0.005820196
EC6-6-1-1,3.081263068,0.000593103,0.005820196
EC1-1-99-28,1.687822591,0.000602457,0.005882277
EC1-17-99-6,-0.468208589,0.000644391,0.006260256
EC2-1-1-157,-2.217603662,0.000670303,0.006479594
EC1-1-1-3,0.386794488,0.000675703,0.00649946
EC1-1-1-79,2.795688026,0.000688586,0.006590756
EC4-2-1-8,0.601147135,0.000696813,0.006636804
EC3-2-1-45,-1.606970011,0.000729046,0.006909929
EC3-5-2-14,2.633586827,0.000760755,0.007175473
EC1-5-1-24,2.331604706,0.000791823,0.007432423
EC2-6-1-52,-0.382899939,0.000804103,0.007439869
EC2-6-1-87,1.036800724,0.000798431,0.007439869
EC2-7-7-18,0.454119276,0.00080181,0.007439869
EC4-1-2-48,0.940682317,0.000818652,0.007538578
EC1-1-1-395,1.675275973,0.000834861,0.007651577
EC2-3-1-79,1.236194529,0.000840607,0.007668071
EC1-3-7-8,1.277062169,0.000845167,0.007672049
EC3-5-4-2,0.493511749,0.000852339,0.007672049
EC6-4-1-1,1.058726047,0.000852889,0.007672049
EC6-3-5-2,0.219047681,0.000906114,0.008113272
EC3-2-1-177,0.84651217,0.00091866,0.008187873
EC4-3-1-17,0.693249537,0.000923636,0.008194637
EC1-3-3-4,2.716254259,0.00093385,0.00824759
EC1-1-1-83,3.551880516,0.000960972,0.008430448
EC3-2-1-14,1.206455425,0.000963232,0.008430448
EC1-14-13-39,-1.757799658,0.000982589,0.008560588
EC2-7-1-107,0.78895021,0.000986913,0.008560588
EC1-2-7-5,3.167695417,0.00100174,0.008647435
EC3-5-1-18,1.315041791,0.001005826,0.008647435
EC2-1-1-51,-1.34431918,0.00101555,0.008692571
EC2-1-1-13,0.754074418,0.001025085,0.008735705
EC3-2-1-169,2.420038329,0.00105991,0.008993035
EC2-4-2-3,0.804021899,0.0011229,0.009486068
EC1-2-4-1,2.823915671,0.001178803,0.009915212
EC6-3-2-17,0.877558145,0.001187964,0.009949199
EC6-3-2-31,2.592817952,0.001211879,0.010105927
EC1-1-1-18,1.20414132,0.001240087,0.010296961
EC4-2-1-109,2.99311119,0.001270741,0.010506596
EC6-3-3-3,0.812144642,0.001337454,0.011011323
EC3-4-16-4,0.730548604,0.001380703,0.011319434
EC2-7-1-156,0.739790407,0.001399043,0.011421596
EC1-1-1-29,1.324842963,0.001444681,0.011546166
EC2-4-1-109,3.365482605,0.001432981,0.011546166
EC3-5-1-87,2.166473034,0.00143698,0.011546166
EC5-1-3-2,0.522887876,0.001421821,0.011546166
EC5-3-1-27,2.266892655,0.001447782,0.011546166
EC5-3-1-28,1.604229271,0.001449956,0.011546166
EC2-5-1-76,-0.695751673,0.00146048,0.011582498
EC2-7-1-190,3.30802909,0.001503962,0.011878854
EC2-3-1-275,3.003120255,0.001525922,0.012003509
EC3-4-24-75,1.153243233,0.001556297,0.012193083
EC2-4-2-52,1.273456926,0.001621044,0.012649352
EC1-1-1-100,0.714720475,0.001692995,0.013105535
EC1-3-99-1,-1.651679149,0.001689387,0.013105535
EC4-3-99-4,1.877964838,0.001702485,0.013126699
EC6-1-2-1,1.954357394,0.001712164,0.013149148
EC2-7-1-95,3.686160044,0.001734248,0.013266311
EC3-1-3-18,0.702385764,0.00174938,0.013285217
EC6-4-1-6,2.43765638,0.001750394,0.013285217
EC1-97-1-9,3.009898247,0.001770329,0.013384236
EC2-1-1-184,1.701356964,0.001797223,0.013515538
EC2-7-9-1,-0.532268528,0.001801608,0.013515538
EC3-1-1-31,1.510445742,0.001840088,0.013751121
EC2-7-1-31,0.994846851,0.001849144,0.01376585
EC1-3-5-3,3.137917483,0.001864359,0.01377357
EC5-4-2-12,-0.370504565,0.001862428,0.01377357
EC3-6-3-23,-2.151807496,0.001935312,0.0142436
EC1-11-1-1,0.880936058,0.001971029,0.014397402
EC3-5-1-9,1.496975561,0.001969765,0.014397402
EC1-8-1-2,3.051183309,0.001994053,0.014456888
EC3-6-1-11,1.902043659,0.001990478,0.014456888
EC2-1-1-174,3.278920028,0.002014465,0.01455058
EC1-1-1-17,2.031248639,0.002048292,0.014740115
EC1-3-1-54,0.992888576,0.002109335,0.015070593
EC3-4-23-43,-1.623684115,0.002109728,0.015070593
EC3-5-4-32,2.325045899,0.00212652,0.015134903
EC1-1-1-26,2.394314087,0.002197586,0.015583611
EC1-4-1-11,2.381272385,0.00222004,0.015685593
EC1-7-99-4,3.45391872,0.002253685,0.015865617
EC2-4-2-6,2.603635056,0.002263515,0.015877291
EC3-2-2-21,1.118990254,0.002330117,0.016285676
EC2-3-3-14,1.845443995,0.00234097,0.016302882
EC1-1-1-272,-1.573382866,0.002363703,0.01634404
EC2-7-8-12,1.151640311,0.002357691,0.01634404
EC5-4-99-21,3.270067298,0.002408114,0.016592077
EC2-8-3-12,2.789114965,0.002529367,0.017365935
EC5-1-1-7,0.38763762,0.002550183,0.017447201
EC2-4-2-4,2.578613287,0.002570944,0.017527523
EC4-2-1-47,-1.080613534,0.002734725,0.018578916
EC3-2-1-26,0.779534767,0.002747925,0.018603549
EC3-6-3-27,1.873718711,0.002773156,0.018709173
EC2-7-9-3,0.677207744,0.002917294,0.0196135
EC3-4-13-3,-2.459014657,0.002955255,0.019800211
EC4-4-1-16,3.263822268,0.002970163,0.019831706
EC2-4-1-12,3.431115658,0.002980671,0.01983371
EC1-2-3-3,2.82207682,0.003013316,0.0199825
EC1-1-1-202,1.058706736,0.003064205,0.020250854
EC3-4-24-13,2.365760118,0.00307836,0.020275436
EC1-1-1-125,3.361071389,0.003162949,0.020762196
EC1-13-11-27,2.922322585,0.003209599,0.020927014
EC4-2-1-36,1.7894617,0.003206843,0.020927014
EC4-2-99-18,0.306366297,0.003288202,0.021367816
EC2-2-1-1,0.701167209,0.003513045,0.022752822
EC2-3-1-118,2.488093752,0.003547916,0.022902327
EC3-5-1-11,2.287963836,0.003577157,0.023014622
EC6-2-1-22,1.186503837,0.003660118,0.02347066
EC4-2-1-59,0.38396237,0.0036958,0.023544063
EC4-6-1-17,0.679588196,0.003686592,0.023544063
EC4-1-1-31,2.195018381,0.003742393,0.023762975
EC1-1-1-64,-0.962979058,0.003796395,0.023949336
EC4-2-1-40,2.42027566,0.003784383,0.023949336
EC4-1-1-50,1.198671214,0.003830558,0.024086649
EC1-1-1-14,0.795201996,0.0038531,0.02409955
EC2-7-1-36,2.492846992,0.00386982,0.02409955
EC3-4-11-2,1.665462703,0.003861038,0.02409955
EC3-5-1-46,1.13226962,0.003887518,0.024132417
EC4-1-1-64,2.174419064,0.003956807,0.024484319
EC3-6-3-15,-2.142775765,0.003990133,0.024612155
EC4-1-2-4,0.264577611,0.004047275,0.024885618
EC4-2-1-51,0.780713145,0.004105219,0.025083149
EC5-1-3-12,2.597563735,0.004099796,0.025083149
EC1-1-1-274,1.556938121,0.004130434,0.025158099
EC2-5-1-54,0.461014505,0.004385719,0.02650572
EC3-1-1-3,0.688151928,0.004386539,0.02650572
EC6-1-1-3,-0.240213804,0.00439261,0.02650572
EC3-1-3-27,2.306820363,0.004555051,0.027400818
EC1-5-1-39,0.98657316,0.004651854,0.027896766
EC5-1-3-n2,1.91311116,0.004808009,0.0287445
EC1-7-2-5,2.447249794,0.004900373,0.029206826
EC3-6-3-24,2.803105279,0.004985079,0.029620818
EC5-1-3-13,-0.455516355,0.005010016,0.029678236
EC4-1-1-4,2.177286152,0.005113825,0.030201102
EC1-1-3-21,2.147593158,0.005167682,0.030426687
EC1-17-4-2,0.467107142,0.005210705,0.030443825
EC2-7-1-2,0.814631065,0.005188553,0.030443825
EC5-1-1-4,1.601340882,0.005217598,0.030443825
EC2-1-1-217,0.988991061,0.005271221,0.030664616
EC2-7-1-76,2.301879198,0.005331384,0.030922025
EC1-3-1-20,1.965453366,0.005422945,0.031240931
EC2-1-1-185,1.478295622,0.005433205,0.031240931
EC3-4-14-5,-1.849622145,0.005434604,0.031240931
EC2-1-1-271,1.76074238,0.005508436,0.031513958
EC2-4-99-17,-0.257525738,0.005514537,0.031513958
EC1-1-1-44,1.176727852,0.005567186,0.031721531
EC2-1-1-187,1.296761906,0.005596041,0.0317382
EC2-7-11-32,2.187208602,0.005626577,0.0317382
EC2-7-4-27,2.187208602,0.005626577,0.0317382
EC4-1-2-40,1.113122196,0.00563545,0.0317382
EC4-1-1-20,0.333758509,0.005744476,0.032258716
EC1-2-5-1,2.908579001,0.005862478,0.032669829
EC2-7-1-21,-0.347396027,0.005868127,0.032669829
EC3-4-24-55,1.877276678,0.005867375,0.032669829
EC6-3-5-3,0.416246435,0.005936822,0.032957845
EC2-3-3-10,2.553786669,0.005989932,0.033140244
EC6-4-1-8,1.553806842,0.006003791,0.033140244
EC3-4-15-6,1.303329459,0.006054025,0.033322861
EC1-4-3-16,0.532443617,0.006114861,0.033562639
EC1-15-1-1,0.874441972,0.00626293,0.034278518
EC2-7-1-113,1.748055514,0.006289174,0.034325463
EC6-3-5-11,0.665126981,0.006326639,0.034433222
EC3-4-14-11,1.910450952,0.006350604,0.034467106
EC3-2-1-4,-1.313708114,0.006415666,0.034723228
EC4-2-1-75,2.878227883,0.006482738,0.03498878
EC2-4-2-28,2.655574658,0.006501254,0.034991512
EC3-5-99-5,-2.194183681,0.006596815,0.035213218
EC3-6-3-29,2.508095487,0.00659351,0.035213218
EC4-2-1-1,1.011113514,0.006592125,0.035213218
EC1-2-1-9,2.42806613,0.006627272,0.035278874
EC3-3-2-10,-1.641813179,0.006806151,0.03589453
EC3-4-11-9,0.821224813,0.006778751,0.03589453
EC4-2-1-106,0.874594985,0.00681682,0.03589453
EC6-3-2-3,2.051104921,0.006793106,0.03589453
EC2-7-13-3,0.280325388,0.006864133,0.035948816
EC3-1-11-5,1.833509798,0.006862948,0.035948816
EC2-5-1-10,0.752046541,0.006898185,0.036030036
EC1-4-1-13,0.537177226,0.007101513,0.036992601
EC2-1-1-14,0.83327927,0.007149716,0.037045062
EC3-2-2-n1,-0.601315854,0.007137056,0.037045062
EC3-2-1-54,0.797532536,0.007188692,0.03714795
EC1-1-1-163,1.699844697,0.007284966,0.037446268
EC3-2-2-15,-1.458786172,0.007275263,0.037446268
EC3-4-13-20,1.391486601,0.007326314,0.03755944
EC3-8-1-3,-2.708270018,0.007355847,0.037611608
EC5-3-1-8,0.757502408,0.007545914,0.03848218
EC3-1-26-8,1.468883897,0.007575214,0.038530471
EC4-1-1-17,3.111181024,0.007659468,0.038857302
EC2-3-1-183,0.805550685,0.007786346,0.039193967
EC2-7-7-40,-1.256307362,0.00776011,0.039193967
EC7-2-2-6,2.644239025,0.007777181,0.039193967
EC3-4-22-10,-0.871501345,0.007968719,0.040008324
EC1-1-1-25,0.50864419,0.007989787,0.040010714
EC2-4-1-247,1.692160564,0.008109471,0.040401802
EC4-2-1-24,0.732199921,0.00809343,0.040401802
EC1-3-1-25,3.003142197,0.008206445,0.040780366
EC6-6-1-2,1.921472138,0.008263947,0.040961352
EC2-3-2-10,2.049816972,0.008300068,0.041035707
EC1-12-99-6,2.585851979,0.008491821,0.04187718
EC3-6-3-3,0.510299911,0.008531024,0.041963999
EC2-1-1-61,2.800538149,0.008584966,0.042122699
EC2-4-1-230,1.491438447,0.008727717,0.042715249
EC1-21-4-3,0.993870686,0.008769514,0.042811973
EC4-99-1-3,0.904414558,0.008794839,0.042828001
EC2-7-2-4,0.204375971,0.008897564,0.043219917
EC1-6-5-5,2.297381254,0.009204007,0.04459697
EC2-3-1-12,2.289911662,0.009248953,0.044703272
EC1-2-1-46,1.730738975,0.009299864,0.044837806
EC1-1-1-244,1.748670103,0.009408408,0.045222481
EC5-4-99-25,-0.268165262,0.009426199,0.045222481
EC1-8-5-3,2.978707814,0.009516131,0.045541482
EC1-21-98-1,-1.568457186,0.00958163,0.045633946
